YEARMO,Year,Month,DAHR, DAY01,DAHR, DAY02,DAHR, DAY03,DAHR, DAY04,DAHR, DAY05,DAHR, DAY06,DAHR, DAY07,DAHR, DAY08,DAHR, DAY09,DAHR, DAY10,DAHR, DAY11,DAHR, DAY12,DAHR, DAY13,DAHR, DAY14,DAHR, DAY15,DAHR, DAY16,DAHR, DAY17,DAHR, DAY18,DAHR, DAY19,DAHR, DAY20,DAHR, DAY21,DAHR, DAY22,DAHR, DAY23,DAHR, DAY24,DAHR, DAY25,DAHR, DAY26,DAHR, DAY27,DAHR, DAY28,DAHR, DAY29,DAHR, DAY30,DAHR, DAY31
195306,1953,6,118,65,218,84,318,75,418,66,518,64,699,-99999,718,36,899,-99999,918,49,1018,49,1118,51,1218,45,1318,46,1418,63,1518,71,1618,73,1718,73,1818,56,1918,77,2018,66,2118,49,2218,61,2318,54,2418,54,2518,85,2618,44,2718,66,2818,57,2918,50,3018,27,3199,-99999
195307,1953,7,118,9,218,56,318,57,418,62,518,65,618,59,718,62,818,24,918,38,1018,51,1118,13,1218,38,1318,4,1418,13,1518,23,1618,30,1718,11,1818,23,1918,25,2018,11,2118,17,2218,26,2318,32,2418,22,2518,19,2618,36,2718,25,2818,36,2918,35,3018,41,3118,30
195308,1953,8,118,45,218,49,318,37,418,41,518,33,618,28,718,30,818,32,918,43,1018,28,1118,43,1218,44,1318,18,1418,30,1518,28,1618,14,1718,35,1899,-99999,1918,10,2018,24,2118,24,2218,27,2318,27,2418,30,2518,22,2618,29,2718,32,2818,28,2918,30,3018,45,3118,15
195309,1953,9,118,20,218,18,399,-99999,418,20,518,22,618,21,718,28,818,29,918,32,1018,33,1118,36,1218,35,1318,39,1418,31,1518,29,1618,29,1718,44,1818,38,1918,36,2018,32,2118,53,2218,36,2318,36,2418,41,2518,34,2618,38,2718,38,2818,31,2918,49,3018,35,3199,-99999
195310,1953,10,118,30,218,26,318,33,499,-99999,518,5,618,22,718,20,818,14,918,18,1099,-99999,1118,12,1218,26,1318,12,1418,26,1599,-99999,1618,12,1718,18,1818,27,1918,15,2018,18,2106,25,2218,6,2399,-99999,2418,8,2518,13,2618,7,2718,7,2818,12,2918,8,3018,12,3118,11
195311,1953,11,118,9,218,6,318,14,418,7,518,6,618,19,718,5,818,1,918,99999,1018,4,1118,15,1218,11,1318,9,1418,10,1518,17,1618,8,1718,11,1818,12,1918,99999,2018,22,2118,8,2218,9,2318,9,2418,9,2518,13,2618,19,2718,11,2818,6,2918,5,3018,6,3199,-99999
195312,1953,12,118,7,218,4,399,-99999,418,11,518,13,618,99999,718,19,818,13,918,99999,1099,-99999,1118,38,1218,99999,1399,-99999,1499,-99999,1599,-99999,1699,-99999,1799,-99999,1899,-99999,1918,62,2018,13,2118,3,2299,-99999,2399,-99999,2499,-99999,2599,-99999,2699,-99999,2799,-99999,2899,-99999,2999,-99999,3099,-99999,3199,-99999
195401,1954,1,199,-99999,299,-99999,318,99999,418,34,518,99999,699,-99999,718,44,818,33,918,26,1018,99999,1199,-99999,1299,-99999,1399,-99999,1499,-99999,1599,-99999,1699,-99999,1799,-99999,1899,-99999,1918,49,2018,2,2199,-99999,2299,-99999,2399,-99999,2499,-99999,2599,-99999,2699,-99999,2799,-99999,2899,-99999,2999,-99999,3099,-99999,3199,-99999
195402,1954,2,199,-99999,218,99999,318,31,418,14,518,24,618,18,718,99999,899,-99999,918,41,1018,21,1118,40,1218,99999,1318,47,1418,35,1518,27,1618,40,1718,99999,1818,24,1918,56,2018,28,2118,20,2218,18,2318,30,2418,31,2518,25,2618,33,2718,40,2899,-99999,2999,-99999,3099,-99999,3199,-99999
195403,1954,3,199,-99999,299,-99999,399,-99999,499,-99999,599,-99999,699,-99999,799,-99999,899,-99999,918,23,1018,11,1118,35,1218,52,1318,99999,1499,-99999,1599,-99999,1618,93,1718,35,1818,27,1918,56,2018,32,2118,14,2218,18,2318,20,2418,11,2518,18,2618,31,2718,12,2818,31,2918,38,3018,99999,3118,32
